Maarten Stekelenburg,SOU,5.0,Back injury - 75% chance of playing,Goalkeeper,"(LIV-A,BOU-H,SUN-A)","[Game vs. SWA H: 3 pts, Game vs. CHE A: 2 pts, Game vs. LEI H: 0 pts]",,75.0,300,3.47246989963
Jermain Defoe,SUN,5.4,,Forward,"(NEW-H,EVE-A,SOU-H)","[Game vs. MUN A: 0 pts, Game vs. WHU H: 0 pts, Game vs. WBA A: 1 pts]",100.0,100.0,392,3.47199763561
Martin Skrtel,LIV,5.5,,Defender,"(SOU-H,CHE-A,CRY-H)","[Game vs. AVL H: 1 pts, Game vs. EVE A: 2 pts, Game vs. TOT A: 9 pts]",,,177,3.43991634342
Eden Hazard,CHE,11.2,,Midfielder,"(WHU-A,LIV-H,STK-A)","[Game vs. NEW A: 5 pts, Game vs. SOU H: 5 pts, Game vs. AVL H: 1 pts]",,,86,3.4241992375
Craig Dawson,WBA,5.1,,Defender,"(NOR-A,LEI-H,MUN-A)","[Game vs. EVE H: 7 pts, Game vs. CRY A: 1 pts, Game vs. SUN H: 5 pts]",100.0,100.0,448,3.41798184501
Eliaquim Mangala,MCI,5.5,,Defender,"(MUN-A,NOR-H,AVL-A)","[Game vs. TOT A: 0 pts, Game vs. NEW H: 1 pts, Game vs. BOU H: 2 pts]",100.0,100.0,213,3.40881108573
Laurent Koscielny,ARS,5.9,,Defender,"(EVE-H,SWA-A,TOT-H)","[Game vs. LEI A: 1 pts, Game vs. MUN H: 0 pts, Game vs. WAT A: 7 pts]",25.0,100.0,4,3.37351310411
Robbie Brady,NOR,5.4,,Midfielder,"(WBA-H,MCI-A,SWA-H)","[Game vs. WHU A: 9 pts, Game vs. LEI H: 3 pts, Game vs. NEW A: 2 pts]",,,527,3.36931890294
Christian Benteke,LIV,8.2,,Forward,"(SOU-H,CHE-A,CRY-H)","[Game vs. AVL H: 0 pts, Game vs. EVE A: 0 pts, Game vs. TOT A: 0 pts]",0.0,100.0,51,3.30447749876
Jeremain Lens,SUN,6.4,,Midfielder,"(NEW-H,EVE-A,SOU-H)","[Game vs. MUN A: 2 pts, Game vs. WHU H: 3 pts, Game vs. WBA A: 0 pts]",0.0,100.0,510,3.2597761459
Steven Fletcher,SUN,5.0,,Forward,"(NEW-H,EVE-A,SOU-H)","[Game vs. MUN A: 1 pts, Game vs. WHU H: 7 pts, Game vs. WBA A: 2 pts]",100.0,100.0,393,3.24977541339
Bakary Sako,CRY,5.5,,Midfielder,"(LEI-A,MUN-H,LIV-A)","[Game vs. WAT A: 3 pts, Game vs. WBA H: 0 pts, Game vs. WHU H: 1 pts]",100.0,100.0,537,3.24648625846
Philippe Coutinho,LIV,8.1,,Midfielder,"(SOU-H,CHE-A,CRY-H)","[Game vs. AVL H: 9 pts, Game vs. EVE A: 2 pts, Game vs. TOT A: 3 pts]",75.0,100.0,191,3.2300499237
James Milner,LIV,6.7,,Midfielder,"(SOU-H,CHE-A,CRY-H)","[Game vs. AVL H: 10 pts, Game vs. EVE A: 6 pts, Game vs. TOT A: 2 pts]",,,197,3.2300499237
Salomón Rondón,WBA,6.8,,Forward,"(NOR-A,LEI-H,MUN-A)","[Game vs. EVE H: 2 pts, Game vs. CRY A: 2 pts, Game vs. SUN H: 2 pts]",100.0,100.0,551,3.21302830858
James Tomkins,WHU,5.0,,Defender,"(CHE-H,WAT-A,EVE-H)","[Game vs. NOR H: 1 pts, Game vs. SUN A: 1 pts, Game vs. CRY A: 1 pts]",,,470,3.18614725179
Neil Taylor,SWA,5.0,,Defender,"(AVL-A,ARS-H,NOR-A)","[Game vs. SOU A: 4 pts, Game vs. TOT H: 1 pts, Game vs. STK H: 2 pts]",,,399,3.17425095021
César Azpilicueta,CHE,6.0,,Defender,"(WHU-A,LIV-H,STK-A)","[Game vs. NEW A: 1 pts, Game vs. SOU H: 1 pts, Game vs. AVL H: 6 pts]",,,80,3.1033681646
